metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_A_gt_B,p_two_sided
sens,LR,RF (default),0.625122582394644,0.22392764833193204,0.40119493406271206,0.3471211738742071,0.45293597444437383,1,0
sens,LR,RF (tuned),0.625122582394644,0.23994917432064294,0.38517340807400113,0.28863155791459266,0.4880357699005605,1,0
sens,LR,Transformer,0.625122582394644,0.6905720506484329,-0.06544946825378874,-0.11892164049661638,0.001304154810989263,0.027,0.054
sens,LR,XGB (default),0.625122582394644,0.416807888570512,0.20831469382413206,0.16336760114060025,0.25439786676829945,1,0
sens,LR,XGB (tuned),0.625122582394644,0.593085812791088,0.032036769603556135,-0.0618521063674675,0.12446031036105164,0.727,0.546
sens,RF (default),Attention (default),0.22392764833193204,0.5210397038210448,-0.29711205548911285,-0.34211335927725056,-0.25178418022072724,0,0
sens,RF (default),Attention (tuned),0.22392764833193204,0.5774610871198732,-0.35353343878794113,-0.38628187927661706,-0.31943767033161613,0,0
sens,RF (default),DT,0.22392764833193204,0.5720868242450072,-0.34815917591307516,-0.408229923042502,-0.28226981314794664,0,0
sens,RF (default),LGB (default),0.22392764833193204,0.295264934794256,-0.07133728646232392,-0.095118999708228,-0.04665085340588263,0,0
sens,RF (default),LGB (tuned),0.22392764833193204,0.28132076269192074,-0.05739311435998872,-0.08481095347546526,-0.03251216067004421,0,0
